File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
3249,6,1,3,0,0,1,0,0,1,0
3250,5,1,2,0,0,1,0,0,1,0
3251,13,1,3,2,1,5,0,0,1,0
3252,13,1,3,2,1,5,0,0,1,0
3253,8,0,0,7,0,0,0,0,1,0
3254,8,1,0,6,0,0,0,0,1,0
3255,7,1,2,1,0,1,0,0,2,0
3256,5,0,2,1,0,1,0,0,1,0
3257,2,0,0,1,0,0,0,0,1,0
3258,2,0,0,1,0,0,0,0,1,0
3259,3,0,0,1,0,1,0,0,1,0
3260,3,0,0,1,0,1,0,0,1,0
3261,6,0,0,5,0,0,0,0,1,0
3262,5,0,0,4,0,0,0,0,1,0
3263,2,0,0,0,0,0,0,0,2,0
3264,1,0,0,0,0,0,0,0,1,0
3265,6,2,2,0,0,1,0,0,1,0
3266,5,2,1,0,0,1,0,0,1,0
3267,14,6,2,0,1,4,0,0,1,0
3268,14,6,2,0,1,4,0,0,1,0
3269,39,10,6,5,8,9,0,0,1,0
3270,42,12,7,6,8,8,0,0,1,0
3271,42,11,7,6,9,8,0,0,1,0
3272,8,5,0,0,1,1,0,0,1,0
3273,7,4,0,0,1,1,0,0,1,0
3274,8,5,0,0,1,1,0,0,1,0
3275,15,6,0,2,0,4,0,0,2,1
3276,11,5,1,0,0,3,0,0,1,1
3277,17,6,1,2,0,4,0,0,2,2
3278,29,9,3,1,9,6,0,0,1,0
3279,28,8,3,0,9,7,0,0,1,0
3280,29,10,2,0,10,6,0,0,1,0
3281,13,3,2,2,2,0,2,0,1,1
3282,12,3,2,2,2,0,2,0,1,0
3283,12,3,2,1,2,0,2,0,1,1
3284,19,6,4,1,3,4,0,0,1,0
3285,20,6,4,1,3,3,0,0,1,2
3286,22,7,3,1,2,5,0,0,1,3
3287,24,10,0,7,2,3,0,0,2,0
3288,23,9,0,7,2,4,0,0,1,0
3289,24,10,0,6,3,3,0,0,2,0
3290,32,8,5,1,8,9,0,0,1,0
3291,32,9,4,1,8,8,1,0,1,0
3292,32,11,4,1,8,7,0,0,1,0
3293,23,9,1,0,6,5,0,0,2,0
3294,21,6,1,1,6,6,0,0,1,0
3295,23,8,1,1,6,5,0,0,2,0
3296,15,6,1,1,1,5,0,0,1,0
3297,24,9,0,3,3,5,0,0,4,0
3298,25,7,1,2,4,7,0,0,4,0
3496,5,0,0,1,2,0,0,1,1,0
3497,3,2,0,0,0,0,0,0,1,0
3498,3,2,0,0,0,0,0,0,1,0
3499,7,1,2,0,1,0,0,2,1,0
3500,7,1,1,0,2,0,0,2,1,0
3501,1,0,0,0,0,0,0,0,1,0
3502,1,0,0,0,0,0,0,0,1,0
3503,2,1,0,0,0,0,0,0,1,0
3504,2,1,0,0,0,0,0,0,1,0
3505,6,2,0,1,2,0,0,0,1,0
3506,6,2,1,1,1,0,0,0,1,0
3507,4,2,0,0,0,1,0,0,1,0
3508,5,2,0,0,0,2,0,0,1,0
3509,4,2,1,0,0,0,0,0,1,0
3510,4,2,1,0,0,0,0,0,1,0
3511,5,2,0,2,0,0,0,0,1,0
3512,5,2,0,2,0,0,0,0,1,0
3513,1,0,0,0,0,0,0,0,1,0
3514,1,0,0,0,0,0,0,0,1,0
3515,2,0,0,0,0,1,0,0,1,0
3516,2,0,0,0,0,1,0,0,1,0
3517,2,1,0,0,0,0,0,0,1,0
3518,2,1,0,0,0,0,0,0,1,0
3519,4,2,0,0,0,1,0,0,1,0
3520,4,2,0,0,0,1,0,0,1,0
3521,4,0,1,0,1,0,0,1,1,0
3522,4,0,1,0,1,0,0,1,1,0
3523,2,0,1,0,0,0,0,0,1,0
3524,1,0,0,0,0,0,0,0,1,0
3525,7,0,0,0,3,0,0,2,1,1
3526,7,1,0,0,3,0,0,1,1,1
3527,4,2,0,1,0,0,0,0,1,0
3528,4,2,0,1,0,0,0,0,1,0
3529,7,2,2,0,1,1,0,0,1,0
